City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
132,Port Lincoln,AU,-34.7333,135.8667,66.34,57,0,11.34,clear sky
133,Copiapo,CL,-27.3667,-70.3333,56.89,87,11,1.63,few clouds
134,Puerto Ayora,EC,-0.7393,-90.3518,67.55,94,90,1.99,overcast clouds
135,Madingou,CG,-4.1536,13.55,75.34,87,94,1.97,overcast clouds
136,Olbia,IT,40.9214,9.4856,48.25,93,40,1.14,scattered clouds
137,Makat,KZ,47.6469,53.3463,28.13,36,0,7.16,clear sky
138,Nome,US,64.5011,-165.4064,23.07,75,0,5.75,clear sky
139,Graaff-Reinet,ZA,-32.2522,24.5308,90.91,32,37,16.93,scattered clouds
140,Constitucion,CL,-35.3333,-72.4167,53.71,66,0,4.76,clear sky
141,Taoudenni,ML,22.6783,-3.9836,61.97,20,81,4.25,broken clouds
142,Castro,BR,-24.7911,-50.0119,57.96,98,33,4.65,scattered clouds
143,Haradok,BY,55.4624,29.9816,15.91,92,9,7.2,clear sky
144,Aras,ES,42.5617,-2.356,36.75,100,20,3.44,few clouds
145,Talnakh,RU,69.4865,88.3972,-1.84,100,100,0.69,overcast clouds
146,Lac Du Bonnet,CA,50.2536,-96.0612,-0.96,99,67,1.7,broken clouds
147,Ust-Kan,RU,50.9276,84.761,9.43,72,18,2.13,few clouds
148,Tuktoyaktuk,CA,69.4541,-133.0374,-3.96,100,99,1.23,overcast clouds
149,Qaanaaq,GL,77.484,-69.3632,-23.66,95,93,6.24,overcast clouds
150,Micheweni,TZ,-4.9667,39.8333,82.13,71,100,7.87,light rain
151,Tura,IN,25.5198,90.2201,78.39,47,0,3.33,clear sky
152,Pangai,TO,-19.8,-174.35,80.33,80,100,7.18,overcast clouds
153,Esmeraldas,BR,-19.7625,-44.3139,68.86,93,37,1.48,scattered clouds
154,Montrose,US,38.4166,-108.2673,26.44,71,12,4.5,few clouds
155,Celestun,MX,20.8667,-90.4,74.84,89,2,11.97,light rain
156,Takoradi,GH,4.8845,-1.7554,80.69,79,22,4.07,few clouds
157,Duku,NG,11.2361,4.9073,78.98,20,8,6.89,clear sky
158,Bako,ET,5.7833,36.5667,81.07,29,97,0.25,overcast clouds
159,Spearfish,US,44.4908,-103.8594,43.68,26,0,34.52,clear sky
160,Jieshi,CN,22.8134,115.8257,62.01,70,35,13.18,scattered clouds
161,Seoul,KR,37.5683,126.9778,29.59,37,9,10.45,clear sky
162,Muroto,JP,33.2833,134.15,55.62,58,38,1.14,scattered clouds
163,Bundaberg,AU,-24.85,152.35,64.22,94,100,5.99,overcast clouds
164,Aykhal,RU,66.0,111.5,-18.83,97,100,18.86,light snow
165,Port Augusta,AU,-32.5,137.7667,77.22,33,50,17.29,scattered clouds
166,Madison,US,34.7334,-86.5667,36.37,71,0,4.61,clear sky
167,Hithadhoo,MV,-0.6,73.0833,81.59,64,49,8.3,scattered clouds
168,Mao,ES,39.8885,4.2658,48.76,87,20,9.22,few clouds
169,Sangar,RU,63.9242,127.4739,-30.19,93,100,1.61,overcast clouds
170,Dalvik,IS,65.9702,-18.5286,37.42,80,14,11.41,few clouds
171,Soe,ID,-9.8607,124.284,73.71,80,99,6.13,overcast clouds
172,Mahebourg,MU,-20.4081,57.7,82.69,57,40,13.8,scattered clouds
173,Waingapu,ID,-9.6567,120.2641,82.56,74,100,3.85,overcast clouds
174,Lagoa,PT,39.05,-27.9833,62.22,77,2,11.92,clear sky
175,Challans,FR,46.8436,-1.8749,38.32,94,6,11.45,clear sky
176,Iqaluit,CA,63.7506,-68.5145,-11.31,63,100,3.0,overcast clouds
177,Narsaq,GL,60.9167,-46.05,28.62,89,74,6.26,broken clouds
178,Kaitangata,NZ,-46.2817,169.8464,53.13,60,100,9.73,overcast clouds
179,Pisco,PE,-13.7,-76.2167,62.65,88,2,3.44,mist
180,Kurchum,KZ,48.5722,83.6542,6.4,73,100,2.19,overcast clouds
181,Yulara,AU,-25.2406,130.9889,91.08,10,1,8.32,clear sky
182,Dunedin,NZ,-45.8742,170.5036,52.81,78,100,3.0,overcast clouds
183,Ajdabiya,LY,30.7554,20.2263,64.54,47,2,10.49,clear sky
184,Buraydah,SA,26.326,43.975,73.74,33,72,8.28,broken clouds
185,Khislavichi,RU,54.1871,32.1582,23.74,85,99,10.47,overcast clouds
186,Inhambane,MZ,-23.865,35.3833,84.18,61,40,13.8,scattered clouds
